name,percent_sold,url,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
Qvolta,-,https://icodrops.com/qvolta,729652,4700000,0.31,0.59155,1.92,0.83,1.52
DOVU,25,https://icodrops.com/dovu,6644682,28400000,0.11,0.22321,2.09,0.98,1.67
HEROcoin,30,https://icodrops.com/herocoin,2021034,16000000,0.0267,0.05996,2.24,1.05,1.75
eidoo,20,https://icodrops.com/eidoo,27676992,51700000,2.58,1.80964,0.70,0.33,0.55
Change Bank,40,https://icodrops.com/change-bank,15963255,40000000,0.44,0.26373,0.60,0.27,0.47
Request Network,70,https://icodrops.com/request-network,33600000,33600000,0.0672,0.21830,3.25,1.53,2.57
Paragon,50,https://icodrops.com/paragon,6000000,100000000,1.00,0.22067,0.22,0.10,0.17
Credit Protocol,29,https://icodrops.com/credit-protocol-token,15300000,15300000,0.34,0.42676,1.26,0.60,0.99
bitJob,56,https://icodrops.com/bitjob,2726424,12000000,0.39,0.05102,0.13,0.06,0.10
Streamr,49,https://icodrops.com/streamr,27000000,27000000,0.0615,0.09775,1.59,0.74,1.23
Ties.Network,70,https://icodrops.com/ties-network,6399760,33600000,0.24,0.18294,0.76,0.32,0.51
Anryze,78,https://icodrops.com/anryze,1759099,6000000,0.0200,0.00954,0.48,0.20,0.30
AirSwap,30,https://icodrops.com/airswap,12600000,12600000,0.30,0.53285,1.77,0.75,1.18
LAToken,50,https://icodrops.com/latoken,18880673,40000000,0.42,0.34333,0.82,0.34,0.54
Maecenas,30,https://icodrops.com/maecenas,15375432,18900000,0.66,0.74992,1.14,0.48,0.76
DomRaider,35,https://icodrops.com/domraider,67200000,67200000,0.12,0.03172,0.26,0.11,0.17
Red Pulse,40,https://icodrops.com/red-pulse,14508923,14500000,0.0358,0.10425,2.92,1.27,1.82
PayPie,75,https://icodrops.com/paypie,26000000,26000000,0.34,1.19917,3.51,1.53,2.15
AirToken,70,https://icodrops.com/airtoken,15000000,15000000,0.0200,0.01404,0.70,0.29,0.42
PowerLedger,35,https://icodrops.com/powerledger,13240000,,0.0838,0.49328,5.89,2.44,3.53
Real,51,https://icodrops.com/real,10604571,33000000,1.32,0.37458,0.28,0.12,0.16
ALIS,50,https://icodrops.com/alis,3705000,35600000,0.0983,0.37826,3.85,1.54,2.18
Internxt,92.5,https://icodrops.com/internxt,220800,41000000,1.02,8.33002,8.17,3.51,4.75
Centra,-,https://icodrops.com/centra,26100000,26100000,0.73,0.64838,0.89,0.36,0.48
Kin,62,https://icodrops.com/kin,48594816,75000000,0.0001,0.00025,2.03,0.82,0.90
Cindicator,75,https://icodrops.com/cindicator,15000000,15000000,0.0100,0.14679,14.68,5.83,7.71
Modum,60,https://icodrops.com/modum,13350000,16400000,1.00,2.5584,2.56,0.94,1.29
ICON,50,https://icodrops.com/icon,42750000,42800000,0.11,3.04308,26.69,10.68,14.63
ChainLink,35,https://icodrops.com/chainlink,32000000,32000000,0.11,0.35019,3.11,1.28,1.76
Substratum,-,https://icodrops.com/substratum,13800000,45000000,0.0817,0.50097,6.13,2.11,3.07
KICKICO,74,https://icodrops.com/kickico,21581925,12800000,0.0850,0.03730,0.44,0.16,0.22
KyberNetwork,61,https://icodrops.com/kybernetwork,46000000,46000000,0.38,2.75982,7.23,2.33,3.41
Social,-,https://icodrops.com/social,5243080,15000000,0.46,0.35790,0.78,0.25,0.37
BitDice,68,https://icodrops.com/bitdice,8748793,,0.0875,0.20900,2.39,0.77,1.13
Enigma,50,https://icodrops.com/enigma,45000000,45000000,0.60,1.87934,3.14,1.29,1.83
Rivetz,35,https://icodrops.com/rivetz,18653920,20000000,0.88,0.44015,0.50,0.21,0.29
Filecoin,-,https://icodrops.com/filecoin,257000000,40000000,5.00,19.5854,3.92,1.62,2.30
Indorse,-,https://icodrops.com/indorse,9247392,15000000,0.33,0.09070,0.27,0.13,0.17
Hubii Network,70,https://icodrops.com/hubii-network,7130256,50000000,0.33,0.68697,2.06,0.96,1.31
Aventus,60,https://icodrops.com/aventus,18780000,18800000,3.40,2.04661,0.60,0.26,0.37
Viberate,60,https://icodrops.com/viberate,12000000,12000000,0.1000,0.20722,2.07,0.87,1.24
Tron,40,https://icodrops.com/tron,70000000,70000000,0.0019,0.03187,17.11,9.30,11.63
Monetha,50,https://icodrops.com/monetha,35910000,35900000,0.16,0.12171,0.77,0.41,0.49
Everex,-,https://icodrops.com/everex,25840000,26000000,2.10,1.64086,0.78,0.41,0.49
ChronoLogic,-,https://icodrops.com/chrono-logic,7502120,13000000,15.38,4.59788,0.30,0.15,0.19
DIMCOIN,-,https://icodrops.com/dimcoin,14005746,13500000,0.0100,0.00608,0.61,0.29,0.36
OPUS,75,https://icodrops.com/opus,5737250,20000000,0.0362,0.03510,0.97,0.44,0.58
Decentraland,40,https://icodrops.com/decentraland,24137000,20000000,0.0240,0.07344,3.06,1.27,1.76
Lampix,-,https://icodrops.com/lampix,12112616,,0.11,0.05952,0.56,0.23,0.32
Agrello,66,https://icodrops.com/agrello,30100000,43200000,0.43,0.27752,0.64,0.27,0.39
BlockCAT,-,https://icodrops.com/blockcat,6284400,5000000,0.88,1.04592,1.19,0.48,0.70
0x,50,https://icodrops.com/0x,24000000,24000000,0.0480,0.84650,17.63,7.15,10.27
SALT,45,https://icodrops.com/salt,48500000,48500000,0.89,3.30272,3.71,1.47,2.11
Po.et,50,https://icodrops.com/po-et,10000000,10000000,0.0064,0.04644,7.30,2.76,3.41
Tierion,35,https://icodrops.com/tierion,25000000,25000000,0.0710,0.11080,1.56,0.65,0.74
Tezos,-,https://icodrops.com/tezos,230533089,,0.47,2.31601,4.93,1.46,1.61
Polybius,93,https://icodrops.com/polybius,62956169,100000000,10.00,3.7105,0.37,0.16,0.13
EOS,90,https://icodrops.com/eos,196874404,,0.99,7.4483,7.55,3.20,2.71
TenX,-,https://icodrops.com/tenx,80000000,,0.64,1.41447,2.21,0.69,0.80
OmiseGo,-,https://icodrops.com/omisego,25000000,25000000,0.35,9.75413,28.19,13.69,10.80
Civic,33,https://icodrops.com/civic,33000000,,0.1000,0.29673,2.97,1.45,1.13
Status Network,-,https://icodrops.com/status-network,107664907,90000000,0.0370,0.19195,5.19,2.69,1.86
SONM,-,https://icodrops.com/sonm,42000000,,0.16,0.17656,1.13,0.60,0.40
Monaco,30,https://icodrops.com/monaco,54317213,,3.80,6.26748,1.65,0.88,0.60
Bancor,-,https://icodrops.com/bancor,153000000,,3.92,4.35166,1.11,0.61,0.46
Cofound.it,25,https://icodrops.com/cofound-it,14820030,12500000,0.12,0.08326,0.70,0.26,0.28
MobileGo,70,https://icodrops.com/mobilego,106138404,,0.76,0.45290,0.60,0.16,0.20
Storj,25,https://icodrops.com/storj,30000000,30000000,0.50,0.7757,1.55,0.40,0.54
ChronoBank,-,https://icodrops.com/chronobank,5412000,,10.00,17.3661,1.74,0.03,0.24
CPChain,40,https://icodrops.com/cpchain,30000000,30000000,0.10,0.239058,2.36,3.36,3.64
Odyssey,40,https://icodrops.com/odyssey,50000000,47600000,0.0119,0.0183679,1.54,2.06,2.23
Elastos,6,https://icodrops.com/elastos,94073200,94100000,18.09,46.1585,2.55,3.94,5.12
Pundi X,66.67,https://icodrops.com/pundi-x,35000000,35000000,2.13,1.41074,0.66,0.99,1.09
FORTUNA,40,https://icodrops.com/fortuna,2000000,2000000,0.0800,0.0821187,1.03,1.56,1.71
DATA,40,https://icodrops.com/data,37988300,38000000,0.0109,0.0168221,1.55,2.36,2.55
Devery,60,https://icodrops.com/devery,10000000,10000000,0.17,0.109895,0.66,0.95,1.06
Mobius,30,https://icodrops.com/mobius,39000000,39000000,0.16,0.148458,0.93,1.38,1.50
Zeepin,50,https://icodrops.com/zeepin,62580000,62600000,0.13,0.0774295,0.61,0.87,0.97
OriginTrail,50,https://icodrops.com/origintrail,14557536,14600000,0.1000,0.189884,1.90,2.16,2.55
MatrixChain,21.73,https://icodrops.com/matrixchain,12592104,12600000,0.36,0.50588,1.41,1.88,2.07
InsurePal,67,https://icodrops.com/insurepal,18000000,18000000,0.1000,0.150728,1.51,2.39,2.54
AidCoin,-,https://icodrops.com/aidcoin,18632900,18600000,0.65,0.272141,0.42,0.76,0.80
carVertical,43,https://icodrops.com/carvertical,19911150,19900000,0.0055,0.00504587,0.92,1.70,1.79
Trinity,33.33,https://icodrops.com/trinity,20000000,20000000,0.0600,0.184401,3.07,5.67,5.74
GatCoin,50,https://icodrops.com/gatcoin,14500000,14500000,0.0318,0.0239955,0.75,1.48,1.50
Selfkey,33,https://icodrops.com/selfkey,21776392,21800000,0.0150,0.0159634,1.06,1.92,2.12
adbank,51,https://icodrops.com/adbank,13962900,14000000,0.0465,0.0199733,0.43,0.84,0.86
Olympus Labs,40,https://icodrops.com/olympus-labs,60324750,60300000,2.18,0.646578,0.30,0.56,0.56
aXpire,75,https://icodrops.com/axpire,20000000,20000000,0.1000,0.0502119,0.50,0.85,0.96
SwissBorg,53.5,https://icodrops.com/swissborg,50000000,50000000,0.1000,0.0616946,0.62,1.16,1.26
Crypterium,70,https://icodrops.com/crypterium,51656963,47000000,1.98,0.786693,0.40,0.55,0.96
Theta token,40,https://icodrops.com/theta-token,20000000,20000000,0.12,0.125382,1.04,1.41,2.21
ZILLIQA,30,https://icodrops.com/zilliqa,22000000,22000000,0.0038,0.0499223,13.10,8.28,27.78
trade.io,55,https://icodrops.com/trade-io,31169749,135000000,1.08,0.339848,0.31,0.43,0.64
Lamden,70,https://icodrops.com/lamden,10000000,10000000,0.0910,0.166566,1.83,2.27,3.89
Bloom,50,https://icodrops.com/bloom,41420705,80500000,1.16,0.661843,0.57,0.61,1.06
Covesting,82,https://icodrops.com/covesting,18750000,18800000,1.44,0.988094,0.69,0.72,1.23
Telcoin,20,https://icodrops.com/telco,25000000,25000000,0.0013,0.00288662,2.23,2.23,3.99
BitDegree,51,https://icodrops.com/bitdegree,22127834,21600000,0.0719,0.103122,1.43,1.45,2.83
BANKEX,20,https://icodrops.com/bankex,70600000,103500000,1.48,0.793652,0.54,0.56,1.09
CanYa,60,https://icodrops.com/canya,8336405,23000000,0.79,0.567351,0.72,0.80,1.67
Sirin Labs,40,https://icodrops.com/sirin-labs,157885825,,0.47,1.08382,2.31,1.52,5.28
INS Ecosystem,60,https://icodrops.com/ins-ecosystem,45756000,45800000,2.54,2.0244,0.80,0.85,1.56
Uttoken,65,https://icodrops.com/uttoken,30854682,58500000,0.90,0.59001,0.66,0.66,1.28
SingularityNET,50,https://icodrops.com/singularitynet,32847814,32800000,0.1000,0.373867,3.74,3.52,7.07
Qlink,40,https://icodrops.com/qlink,19270800,19300000,0.10,0.158913,1.54,1.45,2.94
AppCoins,40,https://icodrops.com/appcoins,15300000,15300000,0.27,0.523979,1.92,2.20,4.49
indaHash,80,https://icodrops.com/indahash,42715825,67000000,0.21,0.130254,0.62,0.70,1.43
Bread,72.5,https://icodrops.com/bread,20021300,20000000,0.78,0.746233,0.96,0.94,2.36
SophiaTX,30,https://icodrops.com/sophiatx,23470356,82300000,0.0716,0.466458,6.51,6.55,17.91
NeuFund,100,https://icodrops.com/neufund,14790678,,0.36,0.670288,1.85,1.86,5.09
Bounty0x,21,https://icodrops.com/bounty0x,1602927,1500000,0.0165,0.105728,6.41,6.25,16.43
Nebulas,30,https://icodrops.com/nebulas,60000000,60000000,2.00,6.45945,3.23,3.32,8.32
Coinlancer,93,https://icodrops.com/coinlancer,11860153,50000000,0.25,0.0964302,0.39,0.38,0.95
Naga,55,https://icodrops.com/naga,45318896,30000000,1.00,0.858071,0.86,0.83,2.11
MediBloc,50,https://icodrops.com/medibloc,21271251,30000000,0.0088,0.0341075,3.89,3.77,8.96
DeepBrain Chain,15,https://icodrops.com/deepbrain-chain,11755200,11800000,0.0158,0.0686271,4.34,4.22,10.72
Aigang,51,https://icodrops.com/aigang,4228920,31100000,0.35,0.451908,1.31,1.27,2.99
GIFTO,30,https://icodrops.com/gifto,10000000,10000000,0.10,0.205207,2.05,2.02,4.76
GUTS Tickets,41,https://icodrops.com/guts-tickets,7520874,17500000,0.97,0.970922,1.00,0.97,2.39
Spectre,50,https://icodrops.com/spectre,16587120,30000000,0.22,0.420851,1.91,1.18,3.57
aelf,25,https://icodrops.com/aelf,24750000,24800000,0.0990,1.14138,11.53,7.28,22.07
Storm,65,https://icodrops.com/storm,30716420,27600000,0.0113,0.0335822,2.97,1.79,7.04
Leverj,40,https://icodrops.com/leverj,13049080,51000000,0.15,0.0834662,0.57,0.35,1.15
Verify,22.25,https://icodrops.com/verify,2500000,2500000,0.23,0.536697,2.39,1.55,3.95
fidentiaX,77,https://icodrops.com/fidentiax,1566283,2900000,0.0289,0.206006,7.13,4.69,11.82
SmartMesh,40,https://icodrops.com/smartmesh,15691200,16800000,0.0167,0.055228,3.30,2.16,5.20
DMarket,85,https://icodrops.com/dmarket,19026768,53300000,0.63,0.551156,0.88,0.58,1.34
Simple Token,30,https://icodrops.com/simple-token,21728192,20000000,0.0889,0.21753,2.45,1.59,3.69
Vezt,45,https://icodrops.com/vezt,1378806,15000000,0.50,0.227626,0.46,0.28,0.62
CRYPTO20,87,https://icodrops.com/crypto20,37698373,75000000,1.00,1.95486,1.95,1.18,2.64
Playkey,60,https://icodrops.com/playkey,10340040,,1.73,1.16336,0.67,0.41,0.91
LockChain,50,https://icodrops.com/lockchain,4055130,13200000,0.55,1.2247,2.22,1.29,2.90
Genaro Network,31,https://icodrops.com/genaro-network,11362000,29600000,0.15,0.341397,2.34,1.44,3.23
ETHLend,75,https://icodrops.com/ethlend,17860000,17900000,0.0173,0.0714626,4.14,2.76,4.73
WaBi,46,https://icodrops.com/wabi,11500000,11500000,0.24,1.30208,5.51,3.48,7.88
Presearch,20,https://icodrops.com/presearch,20500000,,0.20,0.260991,1.30,0.76,1.72
Snovio,60,https://icodrops.com/snovio,2129106,10000000,0.0100,0.0374567,3.75,2.18,4.91
WAX,7.4,https://icodrops.com/wax,9600000,9600000,0.16,0.265042,1.66,1.12,2.53
Datum,51,https://icodrops.com/datum,7581120,29400000,0.0192,0.0487162,2.54,1.71,3.87
BitClave,27.5,https://icodrops.com/bitclave,25547000,25500000,0.1000,0.0491557,0.49,0.33,0.75
Mercury Protocol,60,https://icodrops.com/mercury-protocol,4749479,20000000,0.0430,0.0331601,0.77,0.33,0.77
MyWish,85,https://icodrops.com/mywish,2670000,2700000,0.21,0.309721,1.47,0.87,1.68
Starbase,-,https://icodrops.com/starbase,8842000,10000000,0.10,0.0660529,0.65,0.42,0.74
Flixxo,20,https://icodrops.com/flixxo,4731021,12000000,0.0934,0.1082,1.16,0.67,1.31
Divi Project,80,https://icodrops.com/divi-project,2592064,2000000,0.62,2.03304,3.30,1.85,3.71
Aion,-,https://icodrops.com/aion,-,,1.00,2.30186,2.30,0.97,1.53
ARToken,53,https://icodrops.com/artoken,2813147,30000000,0.0080,0.115697,14.46,7.51,16.46
CyberMiles,70,https://icodrops.com/cybermiles,30881582,30900000,0.0524,0.160141,3.05,1.57,3.51
Bodhi,40,https://icodrops.com/bodhi,-,,0.37,0.492078,1.34,0.72,1.52
Time New Bank,27,https://icodrops.com/time-new-bank,14360000,14400000,0.0171,0.0561272,3.29,1.66,3.66
UTRUST,70,https://icodrops.com/utrust,21000000,21000000,0.0650,0.249456,3.84,1.91,4.28
Zap Store,33,https://icodrops.com/zap-store,2827944,32200000,0.19,0.217063,1.17,0.61,1.34
Quantstamp,65,https://icodrops.com/quantstamp,31320000,31300000,0.0720,0.19823,2.75,1.39,2.95
MicroMoney,84,https://icodrops.com/micromoney,10541585,30000000,1.00,0.459345,0.46,0.21,0.49
B2BX,80,https://icodrops.com/b2bx,8078602,29500000,0.74,0.541603,0.73,0.34,0.78
Privatix,80,https://icodrops.com/privatix,2391939,15000000,3.33,2.83217,0.85,0.40,0.91
Matryx,60,https://icodrops.com/matryx,1984347,9000000,0.29,0.368882,1.29,0.60,1.27
Soma,90,https://icodrops.com/soma,6049621,39800000,0.74,0.308253,0.42,0.19,0.42
Genesis Vision,52,https://icodrops.com/genesis-vision,2836732,23000000,1.00,10.7369,10.74,5.00,10.91
Publica,51,https://icodrops.com/publica,1046210,1000000,0.1000,0.413198,4.13,1.94,3.82
Grid+,30,https://icodrops.com/grid,32226790,89000000,1.15,0.984359,0.86,0.37,0.80
QASH,50,https://icodrops.com/qash,106400000,106400000,0.24,0.696039,2.86,1.22,2.94
COMSA,50,https://icodrops.com/comsa,95372124,,1.00,1.10732,1.11,0.47,0.68
Ripio Credit Network,51,https://icodrops.com/ripio-credit-network,37863045,37900000,0.0743,0.140199,1.89,0.79,1.98
Ignis,-,https://icodrops.com/ignis,21600000,21600000,0.0391,0.185964,4.76,2.00,4.88
Dragonchain,55,https://icodrops.com/dragonchain,13192840,,0.0663,1.28059,19.30,7.88,18.83
Raiden Network,50,https://icodrops.com/raiden,33407260,33400000,0.67,2.37582,3.56,1.52,3.21
Dentacoin,3,https://icodrops.com/dentacoin,1923507,28800000,0.0001,0.000956949,7.97,3.36,6.93
CarTaxi,65,https://icodrops.com/cartaxi,8710939,65000000,0.14,0.0197989,0.15,0.06,0.13
Enjin Coin,40,https://icodrops.com/enjin-coin,22959609,25000000,0.0512,0.110465,2.16,0.93,1.89
TokenStars,60,https://icodrops.com/tokenstars,4901220,7500000,0.42,0.346767,0.83,0.36,0.48
Aeron,60,https://icodrops.com/aeron,4897723,30000000,0.50,1.45919,2.92,1.26,2.57
CryptoPay,52,https://icodrops.com/cryptopay,18148220,64300000,0.31,0.0786344,0.26,0.11,0.22
Horizon State,60,https://icodrops.com/horizon-state,893520,61200000,0.0874,1.15485,13.21,5.67,11.16
Etherparty,40,https://icodrops.com/etherparty,33732274,65000000,0.10,0.101197,0.98,0.43,0.81
BLOCKv,17.5,https://icodrops.com/blockv,21599100,40000000,0.0207,0.0603233,2.91,1.22,2.27
Astronaut,88,https://icodrops.com/astronaut,2352240,,0.89,2.83799,3.19,1.33,2.54
UnikoinGold,-,https://icodrops.com/unikoingold,29436000,86400000,0.30,0.321883,1.06,0.39,0.53
COBINHOOD,50,https://icodrops.com/cobinhood,13078406,25000000,0.0516,0.197678,3.83,1.55,3.15
Electroneum,29,https://icodrops.com/electroneum,39934610,40000000,0.0100,0.050845,5.08,2.01,4.07
Ambrosus,40,https://icodrops.com/ambrosus,32507330,97800000,0.30,0.426657,1.43,0.60,1.20
Gimli,53,https://icodrops.com/gimli,1717455,6000000,0.0871,0.027808,0.32,0.14,0.25
Qvolta,-,https://icodrops.com/qvolta,729652,4700000,0.31,0.591559,1.92,0.83,1.52
DOVU,25,https://icodrops.com/dovu,6644682,28400000,0.11,0.223216,2.09,0.98,1.67
HEROcoin,30,https://icodrops.com/herocoin,2021034,16000000,0.0267,0.0599642,2.24,1.05,1.75
eidoo,20,https://icodrops.com/eidoo,27676992,51700000,2.58,1.80964,0.70,0.33,0.55
Change Bank,40,https://icodrops.com/change-bank,15963255,40000000,0.44,0.263734,0.60,0.27,0.47
Request Network,70,https://icodrops.com/request-network,33600000,33600000,0.0672,0.218302,3.25,1.53,2.57
Paragon,50,https://icodrops.com/paragon,6000000,100000000,1.00,0.220679,0.22,0.10,0.17
Credit Protocol,29,https://icodrops.com/credit-protocol-token,15300000,15300000,0.34,0.426761,1.26,0.60,0.99
bitJob,56,https://icodrops.com/bitjob,2726424,12000000,0.39,0.0510229,0.13,0.06,0.10
Streamr,49,https://icodrops.com/streamr,27000000,27000000,0.0615,0.097758,1.59,0.74,1.23
Ties.Network,70,https://icodrops.com/ties-network,6399760,33600000,0.24,0.182948,0.76,0.32,0.51
Anryze,78,https://icodrops.com/anryze,1759099,6000000,0.0200,0.0095453,0.48,0.20,0.30
AirSwap,30,https://icodrops.com/airswap,12600000,12600000,0.30,0.53285,1.77,0.75,1.18
LAToken,50,https://icodrops.com/latoken,18880673,40000000,0.42,0.343334,0.82,0.34,0.54
Maecenas,30,https://icodrops.com/maecenas,15375432,18900000,0.66,0.749922,1.14,0.48,0.76
DomRaider,35,https://icodrops.com/domraider,67200000,67200000,0.12,0.0317236,0.26,0.11,0.17
Red Pulse,40,https://icodrops.com/red-pulse,14508923,14500000,0.0358,0.104256,2.92,1.27,1.82
PayPie,75,https://icodrops.com/paypie,26000000,26000000,0.34,1.19917,3.51,1.53,2.15
AirToken,70,https://icodrops.com/airtoken,15000000,15000000,0.0200,0.014047,0.70,0.29,0.42
PowerLedger,35,https://icodrops.com/powerledger,13240000,,0.0838,0.493283,5.89,2.44,3.53
Real,51,https://icodrops.com/real,10604571,33000000,1.32,0.374584,0.28,0.12,0.16
ALIS,50,https://icodrops.com/alis,3705000,35600000,0.0983,0.378266,3.85,1.54,2.18
